COUNTRY,CURRENCY
ABW,XCD
AFG,AFA
AGO,AOK
AIA,XCD
ALB,ALL
AND,EUR
ARE,AED
ARG,ARS
ARM,AMD
ASM,USD
ATG,XCD
AUS,AUD
AUT,EUR
AZE,AZN
BDI,BIF
BEL,EUR
BEN,XOF
BES,USD
BFA,XOF
BGD,BDT
BGR,BGN
BHR,BHD
BHS,BSD
BIH,BAM
BLR,BYN
BLZ,BZD
BMU,BMD
BOL,BOB
BRA,BRL
BRB,BBD
BRN,BND
BTN,BTN
BWA,BWP
CAF,XAF
CAN,CAD
CHE,CHE
CHL,CLF
CHN,CNY
CIV,XOF
CMR,XAF
COG,XAF
COK,NZD
COL,COP
COM,KMF
CPV,CVE
CRI,CRC
CUW,ANG
CYM,KYD
CYP,EUR
CZE,CZK
DEU,EUR
DJI,DJF
DMA,DOP
DNK,DKK
DOM,DOP
DZA,DZD
ECU,USD
EGY,EGP
ESP,EUR
EST,EUR
ETH,ETB
FIN,EUR
FJI,FJD
FRA,EUR
GAB,XAF
GBR,GBP
GEO,GEL
GGY,GBP
GHA,GHS
GIB,GIP
GIN,GNF
GMB,GMD
GNB,GMD
GNQ,XOF
GRC,EUR
GRD,XCD
GTM,GTQ
GUM,USD
GUY,GYD
HKG,HKD
HND,HNL
HRV,HRK
HTI,HTG
HUN,HUF
IDN,IDR
IND,INR
IRL,EUR
IRQ,IQD
ISL,ISK
ISR,ILS
ITA,EUR
JAM,JMD
JEY,GBP
JOR,JOD
JPN,JPY
KAZ,KZT
KEN,KES
KGZ,KGS
KHM,KHR
KIR,AUD
KNA,XCD
KOR,KPW
KWT,KWD
LAO,LAK
LBN,LBP
LBR,LRD
LBY,LYD
LCA,XCD
LIE,CHF
LKA,LKR
LSO,LSL
LTU,EUR
LUX,EUR
LVA,EUR
MAC,MOP
MAR,MAD
MCO,EUR
MDA,MDL
MDG,MGA
MDV,MVR
MEX,MXN
MKD,MKD
MLI,XOF
MLT,EUR
MMR,MMK
MNE,EUR
MNG,MNT
MOZ,MZN
MRT,MRU
MSR,XCD
MUS,MUR
MWI,MKW
MYS,MYR
NAM,NAD
NER,XOF
NGA,NGN
NIC,NIO
NLD,USD
NOR,NOK
NPL,NPR
NRU,AUD
NZL,NZD
OMN,OMR
PAK,PKR
PAN,USD
PER,PEN
PHL,PHP
PNG,PGK
POL,PLN
PRI,USD
PRT,EUR
PRY,PYG
PSE,EGP
QAT,QAR
QZZ,EUR
ROM,RON
RUS,RUB
RWA,RWF
SAU,SAR
SDN,SDG
SEN,XOF
SGP,SGD
SLE,SLL
SLV,SVC
SMR,EUR
SOM,SOS
SRB,CSD
SSD,SSP
STP,STN
SUR,SRD
SVK,EUR
SVN,EUR
SWE,SEK
SWZ,SZL
SXM,ANG
SYC,SCR
SYR,SYP
TCA,USD
TCD,XAF
TGO,XOF
THA,THB
TJK,TJS
TKM,TMT
TMP,USD
TTO,TTD
TUN,TND
TUR,TRY
TWN,TWD
TZA,TZS
UGA,UGX
UKR,UAH
URY,UYI
USA,USD
UZB,UZS
VAT,EUR
VCT,EUR
VEN,VES
VGB,USD
VIR,USD
VNM,VND
VUT,VUV
WSM,USD
YEM,YER
ZAF,ZAR
ZAR,ZAR
ZMB,ZMW
ZWE,ZWL
